Algorithm,TotalItems,ItemsValue,ItemsWeight,Quantity,Capacity,Time_ns,Result
simulated-annealing,1,301,1,3,1,229300,211
simulated-annealing,1,301,101,3,1,290400,0
simulated-annealing,1,301,201,3,1,292000,0
simulated-annealing,1,301,301,3,1,293300,0
simulated-annealing,1,301,401,3,1,292400,0
simulated-annealing,1,301,501,3,1,286800,0
simulated-annealing,1,301,601,3,1,284300,0
simulated-annealing,1,401,1,3,1,222000,82
simulated-annealing,1,401,101,3,1,283700,0
simulated-annealing,1,401,201,3,1,281100,0
simulated-annealing,1,401,301,3,1,282500,0
simulated-annealing,1,401,401,3,1,281700,0
simulated-annealing,1,401,501,3,1,289500,0
simulated-annealing,1,401,601,3,1,281000,0
simulated-annealing,1,501,1,3,1,220800,205
simulated-annealing,1,501,101,3,1,276100,0
simulated-annealing,1,501,201,3,1,280000,0
simulated-annealing,1,501,301,3,1,276800,0
simulated-annealing,1,501,401,3,1,275500,0
simulated-annealing,1,501,501,3,1,280700,0
simulated-annealing,1,501,601,3,1,276100,0
simulated-annealing,1,601,1,3,1,217400,293
simulated-annealing,1,601,101,3,1,276000,0
simulated-annealing,1,601,201,3,1,278800,0
simulated-annealing,1,601,301,3,1,274000,0
simulated-annealing,1,601,401,3,1,276800,0
simulated-annealing,1,601,501,3,1,277900,0
simulated-annealing,1,601,601,3,1,277400,0
simulated-annealing,1,1,1,4,1,226000,1
simulated-annealing,1,1,101,4,1,274800,0
simulated-annealing,1,1,201,4,1,281100,0
simulated-annealing,1,1,301,4,1,279600,0
simulated-annealing,1,1,401,4,1,279200,0
simulated-annealing,1,1,501,4,1,274600,0
simulated-annealing,1,1,601,4,1,274800,0
simulated-annealing,1,101,1,4,1,218800,75
simulated-annealing,1,101,101,4,1,286200,0
simulated-annealing,1,101,201,4,1,276600,0
simulated-annealing,1,101,301,4,1,291400,0
simulated-annealing,1,101,401,4,1,294700,0
simulated-annealing,1,101,501,4,1,291900,0
simulated-annealing,1,101,601,4,1,291200,0
simulated-annealing,1,201,1,4,1,220000,54
simulated-annealing,1,201,101,4,1,280200,0
simulated-annealing,1,201,201,4,1,276200,0
simulated-annealing,1,201,301,4,1,275700,0
simulated-annealing,1,201,401,4,1,279100,0
simulated-annealing,1,201,501,4,1,280100,0
simulated-annealing,1,201,601,4,1,274900,0
simulated-annealing,1,301,1,4,1,219900,29
simulated-annealing,1,301,101,4,1,275600,0
simulated-annealing,1,301,201,4,1,351800,0
simulated-annealing,1,301,301,4,1,289400,0
simulated-annealing,1,301,401,4,1,275000,0
simulated-annealing,1,301,501,4,1,274300,0
simulated-annealing,1,301,601,4,1,273500,0
simulated-annealing,1,401,1,4,1,218700,70
simulated-annealing,1,401,101,4,1,278700,0
simulated-annealing,1,401,201,4,1,284900,0
simulated-annealing,1,401,301,4,1,287500,0
simulated-annealing,1,401,401,4,1,285900,0
simulated-annealing,1,401,501,4,1,285500,0
simulated-annealing,1,401,601,4,1,284000,0
simulated-annealing,1,501,1,4,1,227700,45
simulated-annealing,1,501,101,4,1,285600,0
simulated-annealing,1,501,201,4,1,289100,0
simulated-annealing,1,501,301,4,1,289000,0
simulated-annealing,1,501,401,4,1,284500,0
simulated-annealing,1,501,501,4,1,285800,0
simulated-annealing,1,501,601,4,1,285600,0
simulated-annealing,1,601,1,4,1,226500,178
simulated-annealing,1,601,101,4,1,285900,0
simulated-annealing,1,601,201,4,1,288500,0
simulated-annealing,1,601,301,4,1,290800,0
simulated-annealing,1,601,401,4,1,288800,0
simulated-annealing,1,601,501,4,1,285000,0
simulated-annealing,1,601,601,4,1,288300,0
simulated-annealing,1,1,1,5,1,234700,1
simulated-annealing,1,1,101,5,1,294400,0
simulated-annealing,1,1,201,5,1,287600,0
simulated-annealing,1,1,301,5,1,286000,0
simulated-annealing,1,1,401,5,1,286900,0
simulated-annealing,1,1,501,5,1,287700,0
simulated-annealing,1,1,601,5,1,288800,0
simulated-annealing,1,101,1,5,1,227300,90
simulated-annealing,1,101,101,5,1,288700,0
simulated-annealing,1,101,201,5,1,285900,0
simulated-annealing,1,101,301,5,1,285900,0
simulated-annealing,1,101,401,5,1,285900,0
simulated-annealing,1,101,501,5,1,285800,0
simulated-annealing,1,101,601,5,1,285400,0
simulated-annealing,1,201,1,5,1,231700,22
simulated-annealing,1,201,101,5,1,287200,0
simulated-annealing,1,201,201,5,1,286800,0
simulated-annealing,1,201,301,5,1,288600,0
simulated-annealing,1,201,401,5,1,288300,0
simulated-annealing,1,201,501,5,1,287200,0
simulated-annealing,1,201,601,5,1,292000,0
simulated-annealing,1,301,1,5,1,224600,185
simulated-annealing,1,301,101,5,1,286000,0
simulated-annealing,1,301,201,5,1,287400,0
simulated-annealing,1,301,301,5,1,287400,0
simulated-annealing,1,301,401,5,1,287500,0
simulated-annealing,1,301,501,5,1,287000,0
simulated-annealing,1,301,601,5,1,289600,0
simulated-annealing,1,401,1,5,1,227000,384
simulated-annealing,1,401,101,5,1,289600,0
simulated-annealing,1,401,201,5,1,293200,0
simulated-annealing,1,401,301,5,1,513000,0
simulated-annealing,1,401,401,5,1,301400,0
simulated-annealing,1,401,501,5,1,295300,0
simulated-annealing,1,401,601,5,1,298200,0
simulated-annealing,1,501,1,5,1,245400,408
simulated-annealing,1,501,101,5,1,292100,0
simulated-annealing,1,501,201,5,1,305500,0
simulated-annealing,1,501,301,5,1,296900,0
simulated-annealing,1,501,401,5,1,297300,0
simulated-annealing,1,501,501,5,1,291000,0
simulated-annealing,1,501,601,5,1,290200,0
simulated-annealing,1,601,1,5,1,233500,91
simulated-annealing,1,601,101,5,1,292700,0
simulated-annealing,1,601,201,5,1,293200,0
simulated-annealing,1,601,301,5,1,295600,0
simulated-annealing,1,601,401,5,1,284600,0
simulated-annealing,1,601,501,5,1,281300,0
simulated-annealing,1,601,601,5,1,280700,0
simulated-annealing,1,1,1,6,1,230100,1
simulated-annealing,1,1,101,6,1,281300,0
simulated-annealing,1,1,201,6,1,283700,0
simulated-annealing,1,1,301,6,1,280100,0
simulated-annealing,1,1,401,6,1,282000,0
simulated-annealing,1,1,501,6,1,289300,0
