Algorithm,TotalItems,ItemsValue,ItemsWeight,Quantity,Capacity,Time_ns,Result
greedy,1,401,1,4,1,100,309
greedy,1,401,101,4,1,100,1
greedy,1,401,201,4,1,100,0
greedy,1,401,301,4,1,100,6
greedy,1,401,401,4,1,100,0
greedy,1,401,501,4,1,200,4
greedy,1,401,601,4,1,200,0
greedy,1,501,1,4,1,200,174
greedy,1,501,101,4,1,100,1
greedy,1,501,201,4,1,100,4
greedy,1,501,301,4,1,100,4
greedy,1,501,401,4,1,100,1
greedy,1,501,501,4,1,100,3
greedy,1,501,601,4,1,100,0
greedy,1,601,1,4,1,100,144
greedy,1,601,101,4,1,100,0
greedy,1,601,201,4,1,100,1
greedy,1,601,301,4,1,100,1
greedy,1,601,401,4,1,100,1
greedy,1,601,501,4,1,100,0
greedy,1,601,601,4,1,100,1
greedy,1,1,1,5,1,100,1
greedy,1,1,101,5,1,100,0
greedy,1,1,201,5,1,100,0
greedy,1,1,301,5,1,100,0
greedy,1,1,401,5,1,100,0
greedy,1,1,501,5,1,100,0
greedy,1,1,601,5,1,100,0
greedy,1,101,1,5,1,100,42
greedy,1,101,101,5,1,100,0
greedy,1,101,201,5,1,100,0
greedy,1,101,301,5,1,100,0
greedy,1,101,401,5,1,100,0
greedy,1,101,501,5,1,100,0
greedy,1,101,601,5,1,100,0
greedy,1,201,1,5,1,100,150
greedy,1,201,101,5,1,100,0
greedy,1,201,201,5,1,100,0
greedy,1,201,301,5,1,100,1
greedy,1,201,401,5,1,100,0
greedy,1,201,501,5,1,100,9
greedy,1,201,601,5,1,100,0
greedy,1,301,1,5,1,200,155
greedy,1,301,101,5,1,200,0
greedy,1,301,201,5,1,100,2
greedy,1,301,301,5,1,100,0
greedy,1,301,401,5,1,100,0
greedy,1,301,501,5,1,100,0
greedy,1,301,601,5,1,100,1
greedy,1,401,1,5,1,100,325
greedy,1,401,101,5,1,100,26
greedy,1,401,201,5,1,100,2
greedy,1,401,301,5,1,100,1
greedy,1,401,401,5,1,100,3
greedy,1,401,501,5,1,100,0
greedy,1,401,601,5,1,100,0
greedy,1,501,1,5,1,100,69
greedy,1,501,101,5,1,200,13
greedy,1,501,201,5,1,100,5
greedy,1,501,301,5,1,200,4
greedy,1,501,401,5,1,100,2
