Algorithm,TotalItems,ItemsValue,ItemsWeight,Quantity,Capacity,Time_ns,Result
monte-carlo,1,1,601,5,1,100,-1
monte-carlo,1,101,1,5,1,100,-1
monte-carlo,1,101,101,5,1,100,-1
monte-carlo,1,101,201,5,1,100,-1
monte-carlo,1,101,301,5,1,100,-1
monte-carlo,1,101,401,5,1,100,-1
monte-carlo,1,101,501,5,1,100,-1
monte-carlo,1,101,601,5,1,100,-1
monte-carlo,1,201,1,5,1,100,-1
monte-carlo,1,201,101,5,1,100,-1
monte-carlo,1,201,201,5,1,100,-1
monte-carlo,1,201,301,5,1,100,-1
monte-carlo,1,201,401,5,1,100,-1
monte-carlo,1,201,501,5,1,100,-1
monte-carlo,1,201,601,5,1,100,-1
monte-carlo,1,301,1,5,1,100,-1
monte-carlo,1,301,101,5,1,100,-1
monte-carlo,1,301,201,5,1,100,-1
monte-carlo,1,301,301,5,1,100,-1
monte-carlo,1,301,401,5,1,200,-1
monte-carlo,1,301,501,5,1,200,-1
monte-carlo,1,301,601,5,1,100,-1
monte-carlo,1,401,1,5,1,200,-1
monte-carlo,1,401,101,5,1,100,-1
monte-carlo,1,401,201,5,1,100,-1
monte-carlo,1,401,301,5,1,100,-1
monte-carlo,1,401,401,5,1,200,-1
monte-carlo,1,401,501,5,1,100,-1
monte-carlo,1,401,601,5,1,100,-1
monte-carlo,1,501,1,5,1,100,-1
monte-carlo,1,501,101,5,1,100,-1
monte-carlo,1,501,201,5,1,100,-1
monte-carlo,1,501,301,5,1,200,-1
monte-carlo,1,501,401,5,1,100,-1
monte-carlo,1,501,501,5,1,100,-1
monte-carlo,1,501,601,5,1,100,-1
monte-carlo,1,601,1,5,1,100,-1
monte-carlo,1,601,101,5,1,100,-1
monte-carlo,1,601,201,5,1,200,-1
monte-carlo,1,601,301,5,1,100,-1
monte-carlo,1,601,401,5,1,100,-1
monte-carlo,1,601,501,5,1,100,-1
monte-carlo,1,601,601,5,1,100,-1
monte-carlo,1,1,1,6,1,100,-1
monte-carlo,1,1,101,6,1,100,-1
monte-carlo,1,1,201,6,1,100,-1
monte-carlo,1,1,301,6,1,200,-1
monte-carlo,1,1,401,6,1,100,-1
monte-carlo,1,1,501,6,1,100,-1
monte-carlo,1,1,601,6,1,100,-1
monte-carlo,1,101,1,6,1,300,-1
monte-carlo,1,101,101,6,1,100,-1
monte-carlo,1,101,201,6,1,100,-1
monte-carlo,1,101,301,6,1,100,-1
monte-carlo,1,101,401,6,1,100,-1
monte-carlo,1,101,501,6,1,100,-1
monte-carlo,1,101,601,6,1,100,-1
monte-carlo,1,201,1,6,1,100,-1
monte-carlo,1,201,101,6,1,100,-1
monte-carlo,1,201,201,6,1,100,-1
monte-carlo,1,201,301,6,1,200,-1
monte-carlo,1,201,401,6,1,200,-1
monte-carlo,1,201,501,6,1,100,-1
monte-carlo,1,201,601,6,1,100,-1
monte-carlo,1,301,1,6,1,200,-1
monte-carlo,1,301,101,6,1,200,-1
monte-carlo,1,301,201,6,1,100,-1
monte-carlo,1,301,301,6,1,100,-1
monte-carlo,1,301,401,6,1,100,-1
monte-carlo,1,301,501,6,1,100,-1
monte-carlo,1,301,601,6,1,100,-1
monte-carlo,1,401,1,6,1,0,-1
monte-carlo,1,401,101,6,1,0,-1
monte-carlo,1,401,201,6,1,0,-1
monte-carlo,1,401,301,6,1,100,-1
monte-carlo,1,401,401,6,1,100,-1
monte-carlo,1,401,501,6,1,100,-1
monte-carlo,1,401,601,6,1,100,-1
monte-carlo,1,501,1,6,1,100,-1
monte-carlo,1,501,101,6,1,100,-1
monte-carlo,1,501,201,6,1,100,-1
monte-carlo,1,501,301,6,1,100,-1
monte-carlo,1,501,401,6,1,100,-1
monte-carlo,1,501,501,6,1,100,-1
monte-carlo,1,501,601,6,1,100,-1
monte-carlo,1,601,1,6,1,100,-1
monte-carlo,1,601,101,6,1,100,-1
monte-carlo,1,601,201,6,1,100,-1
monte-carlo,1,601,301,6,1,100,-1
monte-carlo,1,601,401,6,1,100,-1
monte-carlo,1,601,501,6,1,100,-1
monte-carlo,1,601,601,6,1,100,-1
monte-carlo,1,1,1,7,1,100,-1
monte-carlo,1,1,101,7,1,100,-1
monte-carlo,1,1,201,7,1,100,-1
monte-carlo,1,1,301,7,1,100,-1
monte-carlo,1,1,401,7,1,100,-1
monte-carlo,1,1,501,7,1,100,-1
monte-carlo,1,1,601,7,1,100,-1
monte-carlo,1,101,1,7,1,100,-1
monte-carlo,1,101,101,7,1,100,-1
monte-carlo,1,101,201,7,1,100,-1
monte-carlo,1,101,301,7,1,100,-1
monte-carlo,1,101,401,7,1,100,-1
monte-carlo,1,101,501,7,1,100,-1
monte-carlo,1,101,601,7,1,200,-1
monte-carlo,1,201,1,7,1,200,-1
monte-carlo,1,201,101,7,1,100,-1
monte-carlo,1,201,201,7,1,100,-1
monte-carlo,1,201,301,7,1,100,-1
monte-carlo,1,201,401,7,1,100,-1
monte-carlo,1,201,501,7,1,200,-1
monte-carlo,1,201,601,7,1,200,-1
monte-carlo,1,301,1,7,1,200,-1
monte-carlo,1,301,101,7,1,100,-1
monte-carlo,1,301,201,7,1,100,-1
monte-carlo,1,301,301,7,1,100,-1
monte-carlo,1,301,401,7,1,200,-1
monte-carlo,1,301,501,7,1,100,-1
monte-carlo,1,301,601,7,1,100,-1
monte-carlo,1,401,1,7,1,100,-1
monte-carlo,1,401,101,7,1,100,-1
monte-carlo,1,401,201,7,1,100,-1
monte-carlo,1,401,301,7,1,100,-1
monte-carlo,1,401,401,7,1,200,-1
monte-carlo,1,401,501,7,1,100,-1
monte-carlo,1,401,601,7,1,100,-1
monte-carlo,1,501,1,7,1,100,-1
monte-carlo,1,501,101,7,1,100,-1
monte-carlo,1,501,201,7,1,100,-1
monte-carlo,1,501,301,7,1,100,-1
monte-carlo,1,501,401,7,1,200,-1
monte-carlo,1,501,501,7,1,200,-1
monte-carlo,1,501,601,7,1,100,-1
monte-carlo,1,601,1,7,1,100,-1
monte-carlo,1,601,101,7,1,100,-1
monte-carlo,1,601,201,7,1,100,-1
monte-carlo,1,601,301,7,1,100,-1
monte-carlo,1,601,401,7,1,100,-1
monte-carlo,1,601,501,7,1,100,-1
monte-carlo,1,601,601,7,1,100,-1
monte-carlo,1,1,1,1,101,100,-1
monte-carlo,1,1,101,1,101,100,-1
monte-carlo,1,1,201,1,101,100,-1
monte-carlo,1,1,301,1,101,100,-1
monte-carlo,1,1,401,1,101,100,-1
monte-carlo,1,1,501,1,101,100,-1
monte-carlo,1,1,601,1,101,100,-1
monte-carlo,1,101,1,1,101,100,-1
monte-carlo,1,101,101,1,101,100,-1
monte-carlo,1,101,201,1,101,100,-1
monte-carlo,1,101,301,1,101,100,-1
monte-carlo,1,101,401,1,101,200,-1
monte-carlo,1,101,501,1,101,100,-1
monte-carlo,1,101,601,1,101,200,-1
monte-carlo,1,201,1,1,101,100,-1
monte-carlo,1,201,101,1,101,100,-1
monte-carlo,1,201,201,1,101,100,-1
monte-carlo,1,201,301,1,101,100,-1
monte-carlo,1,201,401,1,101,100,-1
monte-carlo,1,201,501,1,101,100,-1
monte-carlo,1,201,601,1,101,100,-1
monte-carlo,1,301,1,1,101,100,-1
monte-carlo,1,301,101,1,101,200,-1
monte-carlo,1,301,201,1,101,100,-1
monte-carlo,1,301,301,1,101,200,-1
monte-carlo,1,301,401,1,101,100,-1
monte-carlo,1,301,501,1,101,100,-1
monte-carlo,1,301,601,1,101,100,-1
monte-carlo,1,401,1,1,101,100,-1
monte-carlo,1,401,101,1,101,100,-1
monte-carlo,1,401,201,1,101,100,-1
monte-carlo,1,401,301,1,101,100,-1
monte-carlo,1,401,401,1,101,100,-1
monte-carlo,1,401,501,1,101,200,-1
monte-carlo,1,401,601,1,101,100,-1
monte-carlo,1,501,1,1,101,200,-1
monte-carlo,1,501,101,1,101,100,-1
monte-carlo,1,501,201,1,101,100,-1
